import time: self [us] | cumulative | imported package
import time:        79 |         79 | winreg
import time:       159 |        159 |   _io
import time:        31 |         31 |   marshal
import time:       146 |        146 |   nt
import time:       522 |        858 | _frozen_importlib_external
import time:       386 |        386 |   time
import time:       183 |        569 | zipimport
import time:        56 |         56 |     _codecs
import time:       493 |        549 |   codecs
import time:      1104 |       1104 |   encodings.aliases
import time:       293 |        293 |   encodings._win_cp_codecs
import time:      1141 |       3086 | encodings
import time:       301 |        301 | encodings.utf_8
import time:       313 |        313 | encodings.cp1252
import time:        47 |         47 | _signal
import time:        35 |         35 |       _abc
import time:       194 |        229 |     abc
import time:       118 |        118 |       _stat
import time:       208 |        325 |     stat
import time:       816 |        816 |     _collections_abc
import time:       110 |        110 |       genericpath
import time:       113 |        113 |       _winapi
import time:       287 |        509 |     ntpath
import time:       508 |       2385 |   os
import time:        80 |         80 |   _sitebuiltins
import time:        47 |         47 |   errno
import time:       590 |        590 |   sitecustomize
import time:       192 |        192 |   usercustomize
import time:       681 |       3973 | site
import time:       565 |        565 | linecache
import time:     15261 |      15261 |   resync
import time:      4425 |       4425 |     _hashlib
import time:        76 |         76 |     _blake2
import time:       660 |       5161 |   hashlib
import time:       485 |        485 |     starlette
import time:       502 |        502 |       __future__
import time:        46 |         46 |           _contextvars
import time:       581 |        626 |         _py_warnings
import time:       596 |       1222 |       warnings
import time:       781 |       2505 |     starlette.status
import time:       108 |        108 |           itertools
import time:       337 |        337 |           keyword
import time:        71 |         71 |             _operator
import time:       457 |        528 |           operator
import time:       381 |        381 |           reprlib
import time:        64 |         64 |           _collections
import time:       948 |       2364 |         collections
import time:        28 |       2392 |       collections.abc
import time:        51 |         51 |           _types
import time:       572 |        622 |         types
import time:      1575 |       2197 |       enum
import time:       444 |        444 |         copyreg
import time:        71 |         71 |           _functools
import time:      1434 |       1504 |         functools
import time:        49 |         49 |         _typing
import time:      2187 |       4182 |       typing
import time:       400 |        400 |         annotated_doc.main
import time:       606 |       1005 |       annotated_doc
import time:       980 |        980 |         contextlib
import time:       403 |        403 |           email
import time:        73 |         73 |           binascii
import time:        68 |         68 |               _sre
import time:       391 |        391 |                 re._constants
import time:       466 |        857 |               re._parser
import time:       384 |        384 |               re._casefix
import time:       586 |       1895 |             re._compiler
import time:      1384 |       3278 |           re
import time:       476 |        476 |           quopri
import time:       209 |        209 |           io
import time:        44 |         44 |               _datetime
import time:       313 |        357 |             datetime
import time:       325 |        325 |               urllib
import time:        70 |         70 |               math
import time:      1177 |       1177 |               ipaddress
import time:      1277 |       2847 |             urllib.parse
import time:       649 |        649 |             email._parseaddr
import time:       608 |       4461 |           email.utils
import time:       535 |        535 |           email.errors
import time:        38 |         38 |                   _string
import time:       493 |        530 |                 string
import time:       334 |        864 |               email.quoprimime
import time:        96 |         96 |                     _struct
import time:       331 |        427 |                   struct
import time:       403 |        830 |                 base64
import time:       250 |       1079 |               email.base64mime
import time:       351 |        351 |                 email.encoders
import time:       427 |        778 |               email.charset
import time:       667 |       3387 |             email.header
import time:       465 |       3851 |           email._policybase
import time:       417 |        417 |           email._encoded_words
import time:       260 |        260 |           email.iterators
import time:       858 |      14816 |         email.message
import time:        71 |         71 |               _ast
import time:       667 |        738 |             ast
import time:       863 |       1600 |           annotationlib
import time:        42 |         42 |               _opcode
import time:       350 |        350 |               _opcode_metadata
import time:       459 |        850 |             opcode
import time:      1004 |       1854 |           dis
import time:       412 |        412 |             importlib
import time:        70 |        482 |           importlib.machinery
import time:       322 |        322 |             token
import time:        46 |         46 |             _tokenize
import time:       944 |       1310 |           tokenize
import time:       401 |        401 |             _weakrefset
import time:       628 |       1029 |           weakref
import time:      1888 |       8161 |         inspect
import time:        50 |         50 |               _json
import time:       402 |        452 |             json.scanner
import time:       582 |       1034 |           json.decoder
import time:       601 |        601 |           json.encoder
import time:       449 |       2083 |         json
import time:       366 |        366 |             copy
import time:       748 |       1114 |           dataclasses
import time:      1433 |       1433 |                       typing_extensions
import time:      1438 |       1438 |                       pydantic_core._pydantic_core
import time:       551 |        551 |                             numbers
import time:      1456 |       2006 |                           _decimal
import time:       339 |       2345 |                         decimal
import time:      7311 |       9656 |                       pydantic_core.core_schema
import time:       759 |      13284 |                     pydantic_core
import time:       238 |      13521 |                   pydantic.version
import time:       355 |      13875 |                 pydantic.warnings
import time:       469 |      14344 |               pydantic._migration
import time:       457 |        457 |                   typing_inspection
import time:       790 |        790 |                     textwrap
import time:      1157 |       1947 |                   typing_inspection.typing_objects
import time:       906 |       3309 |                 typing_inspection.introspection
import time:       480 |        480 |                 pydantic._internal
import time:       521 |        521 |                     pydantic._internal._namespace_utils
import time:       533 |       1054 |                   pydantic._internal._typing_extra
import time:       690 |       1743 |                 pydantic._internal._repr
import time:       649 |       6180 |               pydantic.errors
import time:       549 |      21072 |             pydantic
import time:       234 |        234 |                 pydantic._internal._internal_dataclass
import time:      1143 |       1376 |               pydantic.aliases
import time:       988 |        988 |               pydantic.config
import time:       490 |       2853 |             pydantic._internal._config
import time:       319 |        319 |               pydantic._internal._core_utils
import time:       221 |        221 |                 pydantic._internal._import_utils
import time:       869 |       1089 |               pydantic._internal._utils
import time:      3110 |       4517 |             pydantic._internal._decorators
import time:       337 |        337 |                 contextvars
import time:       588 |        588 |                 pydantic._internal._forward_ref
import time:       579 |       1503 |               pydantic._internal._generics
import time:       330 |        330 |               pydantic._internal._docs_extraction
import time:       573 |       2406 |             pydantic._internal._fields
import time:       615 |        615 |                 pydantic.plugin
import time:       507 |       1122 |               pydantic.plugin._schema_validator
import time:       395 |       1517 |             pydantic._internal._mock_val_ser
import time:       282 |        282 |                     posix
import time:       209 |        209 |                     posix
import time:       147 |        636 |                   posixpath
import time:       403 |        403 |                     fnmatch
import time:       539 |        941 |                   glob
import time:       265 |        265 |                   pwd
import time:       209 |        209 |                   grp
import time:       226 |        226 |                     fcntl
import time:       295 |        295 |                     posix
import time:       566 |       1086 |                   pathlib._os
import time:      1019 |       4153 |                 pathlib
import time:      2076 |       2076 |                 fractions
import time:       888 |        888 |                   _uuid
import time:       702 |       1590 |                 uuid
import time:       693 |        693 |                       threading
import time:       949 |       1641 |                     sysconfig
import time:        34 |         34 |                     _sysconfig
import time:       877 |       2551 |                   zoneinfo._tzpath
import time:       351 |        351 |                   zoneinfo._common
import time:       745 |        745 |                   _zoneinfo
import time:       768 |       4414 |                 zoneinfo
import time:       319 |        319 |                 pydantic.annotated_handlers
import time:      2962 |       2962 |                 pydantic.functional_validators
import time:       539 |        539 |                   pydantic._internal._core_metadata
import time:       350 |        350 |                   pydantic._internal._schema_generation_shared
import time:      1984 |       2873 |                 pydantic.json_schema
import time:       428 |        428 |                 pydantic._internal._discriminated_union
import time:       377 |        377 |                 pydantic._internal._known_annotated_metadata
import time:      1233 |       1233 |                 pydantic._internal._schema_gather
import time:      1400 |      21822 |               pydantic._internal._generate_schema
import time:       392 |        392 |               pydantic._internal._signature
import time:       768 |      22981 |             pydantic._internal._model_construction
import time:       737 |        737 |               http
import time:       326 |       1062 |             starlette.exceptions
import time:      5810 |       5810 |               annotated_types
import time:       603 |        603 |               pydantic._internal._validators
import time:      5168 |       5168 |               pydantic.types
import time:      1799 |      13378 |             pydantic.fields
import time:       280 |        280 |                     importlib._abc
import time:       334 |        614 |                   importlib.util
import time:        74 |         74 |                     zlib
import time:       293 |        293 |                         compression
import time:       371 |        663 |                       compression._common
import time:       376 |        376 |                       compression._common._streams
import time:       702 |        702 |                       _bz2
import time:       409 |       2148 |                     bz2
import time:       961 |        961 |                       _lzma
import time:       693 |       1654 |                     lzma
import time:       589 |        589 |                       _zstd
import time:       472 |        472 |                       compression.zstd._zstdfile
import time:       795 |       1855 |                     compression.zstd
import time:       828 |       6558 |                   shutil
import time:       430 |        430 |                     zipfile._path.glob
import time:      1164 |       1593 |                   zipfile._path
import time:       960 |       9723 |                 zipfile
import time:       480 |        480 |                 importlib.metadata._meta
import time:       402 |        402 |                 importlib.metadata._collections
import time:       268 |        268 |                 importlib.metadata._functools
import time:       216 |        216 |                 importlib.metadata._itertools
import time:       979 |        979 |                 importlib.abc
import time:      1259 |      13325 |               importlib.metadata
import time:       431 |      13755 |             pydantic.plugin._loader
import time:      5811 |      89349 |           fastapi.exceptions
import time:       655 |        655 |             fastapi.openapi
import time:       270 |        270 |                 fastapi.types
import time:       374 |        374 |                   shlex
import time:       390 |        390 |                           anyio._core
import time:       745 |       1134 |                         anyio._core._contextmanagers
import time:      2144 |       2144 |                           anyio._core._exceptions
import time:       329 |        329 |                           sniffio
import time:       425 |       2896 |                         anyio._core._eventloop
import time:       601 |        601 |                                 signal
